"","some_txt","emotion","polarity"
"2454","thank youapart from calling it the ‚Äúchinese virus‚Äù it shows even more ignorance to call it the ‚Äúasian virus‚Äù asia a greek word etymologically includes india the middle east amp a vast majority of russia call it covid","unknown","neutral"
"2455","people who are not opposingencouraging this esp in govt must be held accountable if corona inf inc substantially in upindia after this event faith is no good when it is used this way superstitiously instead govt could have used it to make people aware of covid","joy","positive"
"2456","sebi relaxes time limit for filling fyfinancials listed companies can file uptojunein view of dealing with the hampered situation of businesses in this epidemic outbreak of covidsecurities exchange board of india sebi vide circu‚Ä","unknown","negative"
"2457","coronavirus death indian in iran who tested positive for covid dies","unknown","neutral"
"2458","i have a proposal for development of rapid detection of covidmins this platform technology once developed can be customized for future detection of any viruses who do i approach","unknown","positive"
"2459","covid covidindia","unknown","positive"
"2460","‚covidinteractive map of confirmed coronavirus cases in indiathe hindu‚","unknown","positive"
"2461","anyone has data on how many covid tests are being carried out on daily basis in pune maharashtra india coronainmaharashtra pmccare","unknown","positive"
"2462","in the present scenario of covidindia amp shortage of hand sanitizer in india we indianpharmacist wants to permission for formulation of hand sanitizer at hospital as per indian pharmacopoeia us provide permission of us pharmacist for it","surprise","neutral"
"2463","maharashtra health minister says shortage of testing kits covid some travelers from highrisk countries escaped quarantine in india","unknown","neutral"
"2464","chuthyo ho tum jo ab bhi bahar ghumke wanderlust waala caption daal rahe ho covidindia covidindia","unknown","negative"
"2465","covid rumours hurt india‚Äôs poultry industry","unknown","negative"
"2466","i understand that there may be more covid cases in india than what is being reported but the death toll doesnt seem to be alarmingly high you can hide infections with poor testing but you cant hide deaths and cause right","anger","negative"
"2467","this decision has been taken in view of the latest guidelines issued by the ministry healthfamily welfare government of india regarding measures to be put in place for effective social distancing to curb the spread of covidsaid a goa govt advisory issued on thursday","unknown","positive"
"2468","i hope india gets covid and kill all of them there after what they have done to the muslim people there","unknown","neutral"
"2469","team india fighting covid together indiafightscorona","joy","positive"
"2470","˚ú˚Å ˘Ö¯˚ú¯ ˘Ö¯ ¯˚Å¯ ˚Å˚í ¯˚ú¯˚í ˚Å¯¯˙ ˘Ö˚ú˙ ¯˘Å¯ ˚Å˚í ¯˚í ¯¯˚ú¯ ¯˘Ñ¯˘ê ¯˘Ü¯ ˘Ö¯˘Ü˚ú ˘Ö¯˚ú˘Ü˚í ˘à¯˘Ñ˚í covidindia","unknown","positive"
"2471","sample of punjab man who passed away tests positive for covid","unknown","positive"
"2472","here we go coronovirus song enjoy covidindia covidindia covidindia corono coronovirussong","joy","positive"
"2473","sir i think all the government and private hospitals in india should be addressed via vedio conferencing and trained online by foreign or indian docsso that every hospital becomes a covid b","unknown","positive"
"2474","exclusive man whose daughter was rescued from covidhit italy lauds father figure pm narendra modiindia news ‚ÅÅ ‚ÅÅ knowyourfacts respectforgoi","unknown","neutral"
"2475","worst case scenario a small pox kind of situation until effective vaccine is available people will keep getting infected andwill die govt will consider that as collateral damage and move on with business as usual india will be declared a covid hotspot for years","joy","neutral"
"2476","thank u so much sir for doing all possible n realy difficult work to contol covidin odisha","unknown","positive"
"2477","due to covidissue we should close all parks in bangalore its high time we did why is bbmp has not done this until now request cm to direct concerned to take immediate measures to close all parks upto month end very important to stop infection in public places","anger","negative"
"2478","‡ï‡ö‡‡ã‡‡‡‡‡‡ç ‡à‡‡‡‡‡‡ç ‡á‡‡ç‡‡‡‡‡ç ‡â‡‡‡‡‡‡‡ç‡‡Åiran coronavirusindia coronavirusoutbreakindia coronavirusupdate covidindia","unknown","positive"
"2479","the delhi government on thursday extended the daily time for disinfection of public vehicles after a huge turnout disinfection of vehicles can now be done anytime betweenam andpm earlier it was being done in two shifts the delhi transport department said covid","unknown","positive"
"2480","good newspeople in india have been cureddischarged after getting covid‚Äì at patangujarat","joy","positive"
"2481","inside track pmto list out unprecedented measures taken by this administration to fight the spread of covid india waits with anticipation watch india upfront at pm tweet with modicoronamessage","joy","negative"
"2482","inside track pmto list out unprecedented measures taken by this administration to fight the spread of covid india waits with anticipation watch india upfront at pm tweet with modicoronamessage","joy","negative"
"2483","coronavirus news india reports th death covid patient dies in punjab","unknown","neutral"
"2484","dont panic stay safe coronavirus corona covid covid workplace safety safetyfirst business entrepreneur company office health heathcare data management australia newyork london italy chicago france canada sydney china ahmedabad india edatamine","fear","negative"
"2485","india successfully isolates covid strain indiafightscorona","unknown","neutral"
"2486","rs cr covid package by kerala ‚óÜhealth package ofcrores ‚óÜmonths welfare pension in advance ‚óÜfree ration for all irrespective of aplbpl ‚óÜcr loans via kudumbasree ‚óÜmore subhiksha hotels to provide rs lunch what india needs is a leader like pinarayi vijayan ‚Äì at chaliyam beach","joy","positive"
"2487","hope all citizens will abide by the advisory to prevent covid to play havoc in india","unknown","positive"
"2488","frontline healthcare workers do not have enough personal protective equipment like gloves masks hazmat suits say doctors is india doing enough to protect those protecting us from covid","joy","positive"
"2489","pay attention corona virus awareness ahead coronavirus symptoms coronavir„s„ covid covid quarantine india westbengal kolkata precautions donts doctors nurse hospital staysafe","unknown","negative"
"2490","‡ò‡ ‡‡ ‡‡à‡‡‡ˇ‡‡á‡ú‡ ‡ï‡à‡‡á ‡‡‡‡è‡ ‡ï‡ã‡‡ã‡‡‡‡‡‡‡ ‡ï‡ã‡‡ã‡‡ covid covidindia","unknown","positive"
"2491","how to save india from corona viruscovidsome of my thoughts is attached here","unknown","positive"
"2492","moving a step ahead towards finding a vaccine for covid india has become the fifth country in the world to successfully isolate the virus strain after japan thailand the us and china indiafightscorona","unknown","negative"
"2493","coronavirusupdate whatsapp indiaquarantinescorona thursdaythoughts workingfromhome covidindia coronaviruspandemic coronafighters staysafestayhome covid corona coronavirus socialdistanacing covidindia coronavirusoutbreakindia vitamin d","unknown","positive"
"2494","advisory travel and visa restrictions related to covid issued by the bureau of immigration ministry of home affairs govt of indiacoronavirusupdate","unknown","positive"
"2495","goes live attoday expect a nation wide lockdown announcement really hope it happens covidindia covid","joy","positive"
"2496","indians who tested positive for covid on ship off japan returned home after treatment mea","unknown","neutral"
"2497","ji lock down is going to help india from reaching stageof covid","unknown","positive"
"2498","coronavirus outbreak india reports th covid death total numbers rise coronavirusindia coronavirusupdate coronavirusinindia coronavirusupdates coronaviruschallenge indiafightscorona india covidindia covid covid covid","unknown","negative"
"2499","coronavirus numbers in india are low ‚Äî but so is the testing rate withbillion people india is home to the worlds second largest population but the number of positive cases of covid remains mysteriously low","sadness","negative"
"2500","seeing this india has decided to isolate itself from all over world it is very good decision to be better than others against the thread of novel covid at last india is doing its the best take care every one with updating awareness","joy","positive"
"2501","yearold youth who had travelled from delhi to chennai in a train tested positive for covid the patient had no travel history to any of the affected countries community transmission started in india","unknown","positive"
"2502","please start this process at delhi and other airports as well asap this is the stamp being used by mumbai aviations body to identify people coming from abroad covidindia c","joy","neutral"
"2503","no international flights to land for a week in india this is a finest steps taken care by government officials to prevent the covid coronavirusindia fightcovid","joy","positive"
"2504","sensex closespoints lower nifty atamid rising covid cases in india","unknown","positive"
"2505","covid cases have well entered the tripledigit territory in indiacoronavirusoutbreak coronaviruspandemic","unknown","positive"
"2506","teri badi jal rahi hai indian pm kee the great work in hard times of covid ko dekh kar","joy","positive"
"2507","looking for more information about covid in india join us atcovid in india webinar to know the latest updates and guidance for employers","unknown","positive"
"2508","may i get some help as i am not able to contact any corona helpline in amritsar as one of my friend is developing covid symptoms","joy","positive"
"2509","rs cr covid package by kerala ‚óÜhealth package ofcrores ‚óÜmonths welfare pension in advance ‚óÜfree ration forall irrespective of aplbpl ‚óÜ cr loans via kudumbasree ‚óÜmore subhiksha hotels to provide rs lunch what india needs isa leader like","joy","positive"
"2510","aise mahanubhav toh desh ke health minister banaye gaye hai wahmodijiwah coronavirusoutbreakindia covidindia","unknown","positive"
"2511","india is the largest market for chinese toys there used to be a big demand for these toys here however the vendors have incurred losses this year read in the first part of our series the impact of covid on people associated with the toy industry","unknown","positive"
"2512","follow this hi rule and help reduce the spread of covidhsaghi hsag hsagindia coronavirusoutbreak covidindia coronavirus covid covid workfromhome covidcoronavirus indiasfightagainstcorona lockdown workfromhomepolicy safetyfirst","unknown","positive"
"2513","coronavirus in india robots in this kochi village spray sanitizer inform people about covid","unknown","positive"
"2514","hi prashant we regret the inconvenience caused to youwe are experiencing high callemail volumes due to covid epidemiclike all other otas in india are facing the same issuewhich is resulting in less than ideal experience for users like yourselfkindly note we","anger","neutral"
"2515","sir tonight atpm pls tell us what actions will be taken against those who hid their travel history amp symptoms who ran away from quarantine who behaved irresponsibly amp pose risk for others health amp safety covid covidindi","disgust","negative"
"2516","usa india breaking news breakingnews china coronavirus coronavirusoutbreak trump biden sanders covid russia italy coronavirusupdates covid„É iran spain ireland dollar investing uk newyorkcity wallstreet dowjones coronavirusindia pakistan kashmir","unknown","positive"
"2517","mustread prevention from coronavirusfrequently clean your handscover your cough with the bend of elbow or tissuemaintain a distance of at least m from people who are coughingsneezing coronavirusindia covidindia covidindia covid","unknown","neutral"
"2518","so this covid patient travelled from delhi to chennai he had no international travel history yetis justifying its restrictive testing policy if chennai hospital had followed the icmr guideline he would not have been tested","unknown","neutral"
"2519","sends sos call to indian government in the face of covid lockdown assocham covidindia covid covidindia covid smallbusiness","unknown","negative"
"2520","‡‡‡‡Ä‡ ‡‡‡ó‡ ‚Äò‡‡‡á‡Ç ‡ï‡ã‡‡ã‡‡ ‡‡‡‡‡ ‡‡á ‡ú‡ç‡‡‡‡ ‡‡ ‡‡‡ˇ‡á‡Ç‡‡ ‡‡á‡Ç‡ˇ‡ ‡‡á ‡‡ó‡‡ ‡‡à‚Äô shaheenbagh coronaoutbreak covidindia ‡‡‡‡Ä‡‡‡‡ó ‡ï‡ã‡‡ã‡‡ ‡ï‡ã‡‡‡","unknown","positive"
"2521","please see thiswe are now the epicentre of india and leading the way in the highest number of covidindia cases close the airport stop the trains the count needs to go down","joy","negative"
"2522","i am shankar rathour from delhi saint rampal ji maharaj is the biggest doctor who can heal every deadly disease true worship can cure all deadly disease cancer covid etc miraclesoftrueworship pakistanfightscorona italy india corona virus","joy","negative"
"2523","not only mumbai pan india is effectived by covidhighly advisable to shut down all branches for few days or else wait for devastation","unknown","negative"
"2524","waiting for internet services to go down for a few days and then we will see how quarantine works covidindia","unknown","positive"
"2525","indias status on covid","unknown","positive"
"2526","i will tell my kids when india was fighting with covid ‚Ägovernment was doing its best ‚Äcommon citizens were doing their best ‚Äleft media was creating stories and rumours ‚Äcongress was giving credit to nehru ‚Ämaulana was selling taabiz to defeat corona","unknown","neutral"
"2527","from covid dance to free comics india find novel ways to fight novelcoronavirus covidindia covidindia narendramodicoronainmaharashtra","unknown","positive"
"2528","mumbai western express highway scenes doesnt look like lot of people are following work from home covid covidindia ‚Äì at msrtc st bus stop","joy","positive"
"2529","rs cr covid package by kerala health package of crmonths welfare pension in advance free ration for all irrespective of aplbplcr loans via kudumbasree more subhiksha hotels to provide rs lunch what india needs is a leader likecovid","unknown","positive"
"2530","the new covid guidelines for india are as followsindia bans entry of all international commercial passenger flights from marchto marchstates are being requested to enforce work from home for the private sector read more","unknown","positive"
"2531","jajaja el covid es una resaca de domingo con las pestes que hay en la india ni ganas de infectar sale perdiendo","anger","positive"
"2532","dear cm sir please take serious measures to close bangalore parks upto st people sweat spit play covid can spread here specialy children old age people get infected local police bbmp should make sure asap","joy","negative"
"2533","rs cr covid package by kerala health package of crmonths welfare pension in advance free ration for all irrespective of aplbplcr loans via kudumbasree more subhiksha hotels to provide rs lunch what india needs is a leader likecovid","unknown","positive"
"2534","yo son of a dr student of a top uni in uk returned to india amp went to shopping mall covid ve in today‚Äôs episode of entitled morons presenting homeboy who wouldn‚Äôt complete shitalamata primary school if education were truly merit based amp everyone had equal opportunity","surprise","positive"
"2535","mustread is there any vaccine against covid according to who there is no vaccine and no specific antiviral medicine to prevent or treat covid coronavirusindia coronavirusoutbreakindia coronavirusupdate covidindia covidindia covid","unknown","positive"
"2536","coronavirus in india robots in this kochi village spray sanitizer inform people about covid","unknown","positive"
"2537","covid no scheduled international commercial passenger aircraft shall be allowed to land in india from marchfor one week","unknown","negative"
"2538","mustread how does coronavirus spread people can also catch covid if they breathe in droplets from a person with covid who coughs out or exhales droplets coronavirusindia coronavirusupdate covidindia covidindia covid","joy","positive"
"2539","all football fans until april cronavirus covidindia covid staysafestayhome wuhan covid football pl epl premierleague mufc efc mcfc cfc","unknown","positive"
"2540","indiafightscorona moving a step ahead towards finding a vaccine for covid india has become the fifth country in the world to successfully isolate the virus strain after japan thailand the us and china via namo app","unknown","negative"
"2541","mustread how does coronavirus spread as of current studies covid can spread from person to person through small droplets from the nose or mouth which are spread when a person with covid coughs or exhales covidindia covidindia covid","unknown","negative"
"2542","really a shame such ministers in powercoronavirusindia covidindia","sadness","negative"
"2543","good newspeople in india have been cureddischarged after getting covid","joy","positive"
"2544","no community transmission of covid in india random tests negative icmr ‚Äì india news","unknown","negative"
"2545","new coronavirus stable for hours on surfaces coronavirusindia coronainmaharashtra gocoronacoronago covidon covidindia","unknown","positive"
"2546","i believe indian govt tested forpneumonia icu cases from all over india for covid and all of them came back negative i believe that shows that covidhas not reached catastrophic level in india also indian medical research association tested forrandom samples","unknown","negative"
"2547","mustread how does coronavirus spread as of current studies covid can spread from person to person through small droplets from the nose or mouth which are spread when a person with covid coughs or exhales covidindia covidindia covid","unknown","negative"
"2548","for ur kind information world is currently dealing with covidas far as tb is concerned india has taken a lot of steps against it and its not such dangerous for human race than covid","joy","neutral"
"2549","why social distancing is important for indiacoronavirus covid pa coronavirusoutbreakindia","unknown","positive"
"2550","respected sir i am an proud citizen of india this tweet is focused on the lack of blood storage in blood banks of india this tweet is to put forth my idea on this problem as we are facing from the novel corona virus covid people migh","joy","negative"
"2551","good newspeople in india have been cureddischarged after getting covid","joy","positive"
"2552","i dint know teachers r immune to covid when the whole india is working from home govt teachers in madhyapradesh still asked to be in school even after board exams are postponed and no kids in school","unknown","positive"
"2553","the case which is not showing travel history means no travel history for the case its not like refused to show history so how did he got covid when he didnt have travel history and govt says india has no chance of local transmission","joy","neutral"
"2554","covid pandemic list of coronavirus testing centres in india","unknown","negative"
"2555","corona is hidden in the word itself rescue from corona cclean your hands o off from gatherings r raise your immunity o only sick to wear mask nno to hand shake a avoid rumours be careful stay healthy indiafightscorona covidindia","disgust","negative"
"2556","ahmedabad firm first in india to get licence to make covid testing kitsahmedabad mirror","sadness","negative"
"2557","a guy stood behind me at the grocery store covering his face with his tshirt because covid precaution he kept on moving closer with his grocery bag digging into my back because india","unknown","positive"
"2558","mustread symptoms of coronavirus older people and those with underlying medical problems like high blood pressure heart problems or diabetes are more likely to develop serious illness coronavirusindia covidindia covidindia covid","joy","negative"
"2559","tik tok fitna in indiapakistanicoronavirus urduhindi˚ú˚Å˙¯˘à˘Ü¯˙¯˘¯¯˙˚ú¯˚í˚Å˚í coronainpakistan coronavirusupdate wuhan covid pakistanfightscorona","unknown","positive"
"2560","covidindia coronavirusoutbreakindia pmmodioncorona","unknown","positive"
"2561","india is playing the biggest ‚Äòtest‚Äô match of its young career but so far has failed to get the singles tests forget the boundaries tests on the board need to get the virat mindset and start attacking the gaps in field society coronavirusindia covidindia covid","sadness","negative"
"2562","neem is strong antioxidant neutralizing free radicals that may influence devp of med conditions it is also strong antiinflammatory agent it has antimicrobial effectsis eff against several types of bacteria virusesfungi myhealthmerawealth covidindia fightcoronavirus","unknown","neutral"
"2563","they can‚Äôt work from homeplease take some precaution from themcovidindia covid coronavirusupdate coronavirusindia healthminister coronaalert","unknown","positive"
"2564","what does it means that india should not take precautionary measures against such a contagious covid that is killing thousands across the globepls stop ur propaganda against indian govt thousands of like u will come and go but india will remain","joy","neutral"
"2565","‡ï‡‡‡‡ç‚Äç‡ï‡ã‡ˇ‡ç ‡‡ç‡‡‡á‡‡‡ï‡ç‡ï‡‡‡ç ‡á‡‡ç‡‡ç ‡‡ã‡ó‡Ç ‡‡ç‡‡‡‡Ä‡ï‡‡‡ö‡ç‡ö‡‡ç‡‡á‡‡ç‚Äç ‡‡‡‡Ä‡ï‡ç‡‡‡‡ç‡‡‡‡ç ‡‡‡‡‡ç‡ ‡‡‡‡‡ï‡ç‡ï‡‡Çcovidindia covidindia","unknown","positive"
"2566","so desperately all of lutyens want the number of covid cases to go up so that you get an opportunity to take a jibenot happening the destiny of india is planned otherwise","sadness","neutral"
"2567","jai shitala devi may she grant india her blessings and help us combat covid","anger","neutral"
"2568","excl podcast with bmc chief praveen pardeshi he says india can stop covid reassuring preparedness by bmc he requests the citizens to take selfcare on their priority listcoronainmaharashtra coronavirusindia","unknown","positive"
"2569","i have so many friends who run small buisnesssbetweenandemployees all are under huge strain completely depressed we are each others support structures and when we are all under duress nothing is working ecosystem is already ruined because of covidindia","sadness","negative"
"2570","mustread symptoms of coronavirus aroundout of everypeople who gets covid becomes seriously ill and develops difficulty breathing coronavirusindia coronavirusoutbreakindia coronavirusupdate covidindia covidindia covid","unknown","negative"
"2571","covid no home for daily wagers and now no workmumbai newstimes of indiacovidindia","unknown","positive"
"2572","india rockbottom with pakistan in covid testing essential to start testing widely in india before its too late","unknown","positive"
"2573","cmupÄã‚Äãin call off ayodhya mela so that devotees don‚Äôt get covidsign the petition","sadness","negative"
"2574","sir i kindly request you to take necessary action as a precaution against covid for government servants as well there are many officials aged aboutyears and have various diseases like diabetes etc","joy","positive"
"2575","like other affected countries is india also facing any shortage of ventilators or any other medical supplies and equipments needed in covid treatmenti am an engineer and would like to help in any capacity possible","joy","neutral"
"2576","number of covid cases globallyrecoverymortality aboutnumber of severe acute malnourished sam children in indiamillion annual mortality rate at a conservativeaboutchildren die every year i am just sayin","unknown","neutral"
"2577","bquick coronavirus india bans incoming flights as death toll rises to four europe surpasses china as covid hotbed top news mustread stories and columns ‚Äì all served up in less thanminutes","surprise","negative"
"2578","tariq brings us the latest frequently asked legal questionsindias government response to covidfalqs iclblog","unknown","positive"
"2579","mustread symptoms of coronavirus most people aboutrecover from the disease without needing special treatment coronavirusindia coronavirusoutbreakindia coronavirusupdate covidindia covidindia covid","unknown","neutral"
"2580","rs cr covid package by kerala ‚óÜhealth package ofcrores ‚óÜmonths welfare pension in advance ‚óÜfree ration for all irrespective of aplbpl ‚óÜ cr loans via kudumbasree ‚óÜmore subhiksha hotels to provide rs lunch what india needs is a leader like pinarayi vijayan","joy","positive"
"2581","we at skoda auto india wish for the safety of all our family and friends out there stayhome staysafe skodatribe covid","unknown","positive"
"2582","your gym is open in ahmedabad gujarat india this is clear violation of state government order gujarat epidemic diseases covid regulationsof shutting down all gym due to covid virus till th march","unknown","neutral"
"2583","mustread symptoms of coronavirus some people become infected but don‚Äôt develop any symptoms and dont feel unwell coronavirusindia coronavirusoutbreakindia coronavirusupdate covidindia covidindia covid","unknown","negative"
"2584","got an email saying that our india office was being mandated to no more thanstaffed in the office so that means that the people in our india office are more protected against covid than we are in illinois for companies who refuse","unknown","negative"
"2585","aap raipur ki situation nahi jaante entire city is on the streets people are stocking up fruits vegetables ration bakery items etc the case has not been confirmed by aiims such is the lack of awareness amongst people covidindia coronavirusoutbreakindia covidindia","unknown","negative"
"2586","rs cr covid package by kerala ‚óÜhealth package ofcrores ‚óÜmonths welfare pension in advance ‚óÜfree ration for all irrespective of aplbpl ‚óÜ cr loans via kudumbasree ‚óÜmore subhiksha hotels to provide rs lunch what india needs is a leader like pinarayi vijayan","joy","positive"
"2587","mustread symptoms of coronavirus some patients may have aches and pains nasal congestion runny nose sore throat or diarrhea coronavirusindia coronavirusoutbreakindia coronavirusupdate covidindia covidindia covid","anger","negative"
"2588","covid situation in india for next few days will also impact markets hope it remains safe","unknown","positive"
"2589","coronavirus live updatesmore covid cases reported in maharashtra total case count nearsin india covid read","joy","negative"
"2590","dear sir i tweet u earlier too plz do something about arrogance of the management of maruti suzuki india limited they r ignoring of threat of covidthousand of people working there as outsource employee but the managment is not consi","unknown","negative"
"2591","covid india bans international flights for a week from marchindia internationalflights children seniorcitizens coronavirus covid","unknown","positive"
"2592","mustread symptoms of coronavirus covid starts like any other flu the most common symptoms are fever tiredness and dry cough coronavirusindia coronavirusoutbreakindia coronavirusupdate covidindia covidindia covid","joy","neutral"
"2593","lasthoursinfected and arounddeath worldwide india is in second phase need to take some drastic measures immediately coronavirusoutbreakindia covidindia coronavirusindia coronavirus","unknown","negative"
"2594","sir please appeal toto restrict the crowd ban all mass prayers belonging to all religions thousands of muslims returned india from various covid affected nations since days buti think still they join for prayers in indian mosques","joy","neutral"
"2595","‡‡ç‡‡á‡ ‡‡á‡Ç ‡ó‡Å‡‡Å‡‡‡ ‡ï‡ã ‡ï‡ã‡‡ã‡‡‡‡‡‡‡ ‡‡Ç‡ï‡ç‡‡‡ ‡‡á ‡‡ã‡‡á ‡‡‡‡Ä ‡‡ú‡‡ã‡Ç ‡î‡ ‡‡‡‡‡ã‡Ç ‡ï‡Ä ‡‡Ç‡ñ‡ç‡‡ ‡‡á‡Ç ‡‡‡‡Ä ‡‡‡‡ã‡‡‡Ä ‡‡Å‡à ‡ú‡‡‡ï‡á ‡‡‡ ‡‡ ‡‡Å‡‡‡‡ ‡ï‡á ‡‡‡‡á ‡ú‡ç‡‡‡‡ ‡ï‡ã‡‡ã‡‡ ‡‡ç‡‡‡‡‡‡ ‡‡á‡‡ã‡Ç ‡ï‡Ä ‡‡Ç‡ö‡Ä ‡‡á‡Ç ‡ö‡ú‡‡á ‡‡Ç‡‡ ‡‡ ‡Ü ‡ó‡‡ ‡‡à‡ coronavirusupdate covid photo pib india","unknown","positive"
"2596","all states shut down there offices due to covid but central govt still waiting for situation go out of control then act why railway amp air services not suspended till now which is root cause of spreading this virus in india covidindia","unknown","negative"
"2597","when do you see indian aviation recover from covidindia covidindia covid covidindia caronavirusindia carona caronavirusindia avgeek aviation covidindia","unknown","positive"
"2598","coronavirusoutbreakpointsno community transmission in indialisten to pm s address atpm tonight check advise oftweetedcoronavirusupdate covid","unknown","positive"
"2599","mustread what is coronavirus the most recently discovered coronavirus causes coronavirus disease covid coronavirusindia coronavirusoutbreakindia coronavirusupdate covidindia covidindia covid","unknown","negative"
"2600","disclaimerour symptom checker chatbot for coronavirus disease or covid is developed based on the guidelines of who and ministry of health and family welfare india the interaction and assessment with the chatbot should not be taken as expert medical advise","unknown","negative"
"2601","coronavirus india locks down kashmir on covid fears","unknown","negative"
"2602","covidinter ssc exams will be conducted as per schedule minister andhrapradesh ssc exams covidindia covid india indiafightscoronavirus viruscorona indiavscorona covidpain covidindia coronavirusindia","surprise","positive"
"2603","report msmes the biggest casualty of covid in india covidindia coronainmaharashtra coronavirusupdate coronaoutbreak coronavirusoutbreakindia","unknown","negative"
"2604","mustread what is coronavirus in humans several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases coronavirusindia coronavirusoutbreakindia coronavirusupdate covidindia covidindia","unknown","negative"
"2605","democratic india seems to be hiding more than communist china lately nsso numbers gdp manipulation covid cases","unknown","neutral"
"2606","formonthsand wh called covid a dem hoax while trump family had lavish parties fam trips to india etc taxpayer funded yet you ramble on about the left blaming and name calling etc why not promote orgs that people cd call or contact for help yes think","unknown","neutral"
"2607","i will tell my kids when india was fighting with covidgovt was doing prcommon citizen were doing their bestgodi media amp it cell was creating stories and rumours amp busy to lickbjp was busy in horse tradingchaddi gang was selling gau mutra to defeat corona","unknown","negative"
"2608","‡‡Å‡‡‡‡ã‡‡ç ‡‡‡ç‡‡Å‡‡ç‡‡‡‡Å‡ï‡ç‡ï‡Å‡ˇ‡ç‡‡ˇ‡ç‡ˇ ‡ï‡Å‡‡‡ç‡‡à‡ï‡‡ç ‡‡Ä‡ˇ‡ç‡ˇ‡‡‡á‡‡á ‡á‡‡Å‡ï‡ç‡ï ‡‡á‡‡ç‡ˇ‡Å‡‡ç ‡‡‡ç‡‡‡ ‡Ö‡‡ö‡Åcoronavirusindia coronavirusoutbreakindia coronavirusupdate covidindia","unknown","positive"
"2609","but do we private school teachers will not affected by the novelcovid as we are still going to school and that also forhours","unknown","positive"
"2610","here is the update on indias progress towards fightagainstcovidhsag hsagindia newage coronavirusoutbreak covidindia coronavirus covid covid workfromhome covidcoronavirus indiasfightagainstcorona lockdown workfromhomepolicy safetyfirst","unknown","positive"
"2611","covidepidemic has shown its dangerous for the world to depend on just one country for basic ingredients required for manufacture of critical drugs the supply line needs to be far more broad based even india a major manufacturer of critical drugs is overdependent on china","unknown","positive"
"2612","mustread what is coronavirus coronaviruses are a large family of viruses which may cause illness in animals or humans coronavirusindia coronavirusoutbreakindia coronavirusupdate coronavirusreachesdelhi covidindia covidindia covid","unknown","neutral"
"2613","i have been trying to connect you guys from lastdays to reschedule my current flight booked with air india because of covid issues but no one is responding to my callthey simply keep me on hold for more than","unknown","negative"
"2614","dear iran do you remember the wails amp cries of the syrian people killed by your countrymen brutally and ruthlessly in syria karma covid kashmir pakistan indiacoronavirusupdate","unknown","negative"
"2615","urgente india proh„be que cualquiera de los vuelos internacionales aterricen en su pa„s covid","unknown","positive"
"2616","punjab govt is taking covidvery lightlysuspected patients r missingmembers of a family just returned from italy amp today they have organised a huge get together capt govt is busy in self promotion punjab wud be the epicenter of covidin india","joy","neutral"
"2617","i was just talking to my husband about india and how covid will devastate them","unknown","neutral"
"2618","india got its covid dashboard no more rumors","unknown","negative"
"2619","coronavirus govt bans all scheduled international commercial passenger flights from landing in the country from marchfor a week to contain the spread of coronavirus india has already suspended visas for foreigners seeking to enter the country covid deaths risen to","unknown","positive"
"2620","coronavirus india locks down kashmir on covid fears","unknown","negative"
"2621","waiting for your speech modijiindia fights covid","unknown","positive"
"2622","mustread where did it emerge the first case of coronavirus came in decemberfrom the city of wuhan in china coronavirusindia coronavirusoutbreakindia coronavirusupdate coronainmaharashtra covidindia covidindia covid","unknown","positive"
"2623","‡ï‡ö‡‡ã‡‡ ‡‡à‡‡‡ç ‡Ö‡ö‡ç‡ö‡Å‡‡Å‡‡ç‡‡Å‡‡ç ‡ö‡Ç‡‡‡‡‡ç ‡‡‡‡Å‡ï‡‡‡ç‡‡‡ï‡‡Å‡‡ç ‡Ö‡‡ö‡‡ô‡ç‡ï‡‡ç‡‡‡‡ç‡ï‡Å ‡‡Å‡‡Å ‡í‡‡ç‡‡Å‡‡à‡‡ç‡‡Å ‡ï‡ö‡ˇ‡Å‡‡ç‡‡‡Å‡‡ç ‡Ö‡‡à‡‡‡‡‡ç ‡ï‡ˇ‡‡à ‡‡Ç‡‡ç‡‡à‡‡‡ï‡‡Å‡‡ç ‡‡‡‡Å‡ï‡‡‡ç‡‡‡ï‡‡Å‡‡ç ‡ï‡ö‡‡ã‡‡ ‡‡‡ï‡ç‡ï‡Å‡‡‡‡‡ç ‡‡‡ç‡ï‡‡‡ç‡‡Å ‡‡‡‡ç‡‡ã‡‡ç coronavirusoutbreak coronafighters covidindia","unknown","positive"
"2624","watch we are ready to combat coronavirus imapresident dr rajan sharma covidindia covid coronavirusupdate to watch full video click","unknown","negative"
"2625","covidindia covid covid coronavirusupdate coronavirusindia indiafightscorona gocoronacoronago thursdaythoughts","unknown","positive"
"2626","the ifa office and the ifa archive in bangalore will remain closed till tuesday marchon account of the public health warnings against coronavirus disease covidin india the team will be working from their respective homes","unknown","negative"
"2627","coronavirus in india what gives hope in fight against covid","unknown","neutral"
"2628","watchhow fakevideos about covid are destroying indias poultrysector","unknown","positive"
"2629","ur cancelation policy is so inconvenient amidst coronavirusindia coronainmaharashtra covid covidindia when othr airlines r givin waivers on reschedulingis not supporting its passengerswen s pple r tryinnumbry no mails or messages were sent","unknown","negative"
"2630","dear sir your actions to save masses are commendable plz banwhtsapp for one month as fake news is doing more damage coronavirusindia covidindia covidindia covid coronavirusoutbreakindia","joy","neutral"
